description;popularity;poster_path;vote_average;vote_count;tmdb_id;movieId;title;year;Adventure;Animation;Children;Comedy;Fantasy;Romance;Drama;Action;Crime;Thriller;Horror;Mystery;Sci-Fi;IMAX;Documentary;War;Musical;Western;Film-Noir;tmdbId;actor1;actor2;actor3;actor4;actor5;director1
An original story featuring performances by Cirque du Soleil. A young woman is entranced by an Aerialist. When they fall into the dreamlike world of Cirque du Soleil and are separated, they travel through the different tent worlds trying to find each other.;11.696;/jAt4ugebhXKmAnirHAWe5P6gnMi.jpg;7.041;145.0;94352.0;99143.0;Cirque du Soleil: Worlds Away;2012;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;94352.0;Erica Linz;Igor Zaripov;Matt Gillanders;Jason Berrent;Dallas Barnett;Andrew Adamson
In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror.;35.95;/k0DLCiDbnYywOHiISALbl2EH2NE.jpg;7.362;5537.0;80278.0;99145.0;Impossible, The (Imposible, Lo);2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80278.0;Naomi Watts;Ewan McGregor;Tom Holland;Samuel Joslin;Oaklee Pendergast;J. A. Bayona
An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.;22.604;/90PyvT7SI5INKhMC6P7B5NJVx4t.jpg;7.344;4704.0;82695.0;99149.0;Misérables, Les;2012;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;82695.0;Hugh Jackman;Russell Crowe;Anne Hathaway;Amanda Seyfried;Sacha Baron Cohen;Tom Hooper
After being struck and killed by lightning, a young man recounts the way he blackmailed his fellow classmates into contributing to his literary magazine.;7.116;/iceZkHBrLTgeXZF7Z3gANJgiNQM.jpg;6.281;208.0;87440.0;99178.0;Struck by Lightning;2012;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87440.0;Chris Colfer;Dermot Mulroney;Sarah Hyland;Allison Janney;Christina Hendricks;Brian Dannelly
Set in suburban New Jersey in the 1960s, a group of friends form a rock band and try to make it big.;9.832;/qHYG8V2L4mjQSOiTFG6jheMXZOo.jpg;5.672;58.0;128270.0;99217.0;Not Fade Away;2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;128270.0;John Magaro;James Gandolfini;Bella Heathcote;Jack Huston;Will Brill;David Chase
The directorial debut of Dustin Hoffman, Quartet is a high-drama comedy about temperamental divas and old grudges, passion and pride, romance and Rigoletto. At a home for retired musicians, the annual concert to celebrate Verdi's birthday is disrupted by the arrival of Jean, an eternal diva and former wife of one of the residents. Expect poignancy and plenty of laughs.;7.829;/tatgMbBCw7iB0kHHCNCXlovVwlb.jpg;6.511;320.0;121826.0;99220.0;Quartet;2012;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;121826.0;Maggie Smith;Tom Courtenay;Billy Connolly;Pauline Collins;Michael Gambon;Dustin Hoffman
A documentary about a man who impersonates a wise Indian Guru and builds a following in Arizona. At the height of his popularity, the Guru Kumaré must reveal his true identity to his disciples and unveil his greatest teaching of all.;3.653;/6XzJ4RAqNKI4V3K3UarK4MthJA8.jpg;6.957;58.0;98886.0;99305.0;Kumaré;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;98886.0;Purva Bedi;Kristen Calgaro;no actors;no actors;no actors;Vikram Gandhi
Mitchie can't wait to go back to Camp Rock and spend the summer making new music with her friends and superstar Shane Gray. But the slick new camp across the lake, Camp Star, has drummed up some serious competition – featuring newcomers Luke and Dana. In a sensational battle of the bands, with Camp Rock's future at stake, will Camp Star's flashy production and over-the-top antics win out, or will Camp Rockers prove that music, teamwork, and spirit are what truly matter?;23.299;/8RSdWqC259zR72Jjo6ANAM4ndhM.jpg;6.335;1372.0;44244.0;99371.0;Camp Rock 2: The Final Jam;2010;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;44244.0;Demi Lovato;Alyson Stoner;Roshon Fegan;Joe Jonas;Nick Jonas;Paul Hoen
In order to win the Street Dance Championships, a dance crew is forced to work with ballet dancers from the Royal Dance School in exchange for rehearsal space.;13.483;/oqWSenAtDQsWjMLVTMEDvcCtafU.jpg;6.4;358.0;41592.0;99373.0;StreetDance 3D;2010;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41592.0;Nichola Burley;Richard Winsor;Ukweli Roach;Frank Harper;George Sampson;Max Giwa
"While Havana is full of zombies hungry for human flesh, official media reported that the disturbances are caused by dissidents paid by the United States. Panic seizes all until Juan comes to the rescue: he discovers he can kill the undead destroying his brain, and decides to start a small business under the slogan ""We kill your loved ones.""";9.865;/2CT4wUllzqDkave0X42uXqmpfAn.jpg;6.1;214.0;74726.0;99413.0;Juan of the Dead (Juan de los Muertos);2011;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74726.0;Alexis Díaz de Villegas;Jorge Molina;Andros Perugorría;Andrea Duro;Jazz Vilá;Alejandro Brugués
Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.;19.321;/yv9rgYbe1AyOuLoOO5EEbXJaVMr.jpg;5.897;413.0;88042.0;99415.0;Parental Guidance;2012;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88042.0;Billy Crystal;Bette Midler;Marisa Tomei;Tom Everett Scott;Bailee Madison;Andy Fickman
A new drug promises out-of-body experiences, but users are coming back changed forever, and an otherworldly invasion of Earth is underway.;8.765;/1IsviP0Tb05xUAFWz5b7FJ0qIHP.jpg;6.4;545.0;75761.0;99437.0;John Dies at the End;2012;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75761.0;Chase Williamson;Rob Mayes;Doug Jones;Paul Giamatti;Daniel Roebuck;Don Coscarelli
In 1989, five black and Latino teenagers from Harlem were arrested and later convicted of raping a white woman in New York City's Central Park. They spent between 6 and 13 years in prison before a serial rapist confessed that he alone had committed the crime, leading to their convictions being overturned. Set against a backdrop of a decaying city beset by violence and racial tension, this is the story of that horrific crime, the rush to judgment by the police, a media clamoring for sensational stories and an outraged public, and the five lives upended by this miscarriage of justice.;5.306;/aKlQ8Sjr07OkCLuYkRYtpVSMm3e.jpg;7.143;84.0;124067.0;99468.0;Central Park Five, The;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;124067.0;Antron McCray;Kevin Richardson;Yusef Salaam;Raymond Santana;Kharey Wise;Sarah Burns
"Arkin escapes with his life from the vicious grips of ""The Collector"" during an entrapment party where he adds beautiful Elena to his ""Collection."" Instead of recovering from the trauma, Arkin is suddenly abducted from the hospital by mercenaries hired by Elena's wealthy father. Arkin is blackmailed to team up with the mercenaries and track down The Collector's booby trapped warehouse and save Elena.";26.049;/y1UmkcSl3t7nPN80IDWv5Bj597h.jpg;6.273;833.0;134597.0;99470.0;Collection, The;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;134597.0;Josh Stewart;Emma Fitzpatrick;Christopher McDonald;Johanna Braddy;Lee Tergesen;Marcus Dunstan
Former legendary assassin Kenshin Himura has now become a wandering samurai. Offering aid & protecting those in need as atonement for his past deeds. During this time Kenshin Himura comes across and aides Kaoru Kamiya (Emi Takei). Her father opened the Kamiya Kasshin-ryu, a kendo school located in Tokyo and Kaoru is now an instructor there. Kaoru then invites Kenshin to stay at her dojo. Their relationship develops further, but Kenshin is still haunted by his violent past...;28.424;/vo3Zs07PZfKNsTrU0pcPZONJcN5.jpg;7.582;633.0;127533.0;99530.0;Rurouni Kenshin (Rurôni Kenshin: Meiji kenkaku roman tan);2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;127533.0;Takeru Satoh;Emi Takei;Koji Kikkawa;Yu Aoi;Munetaka Aoki;Keishi Ōtomo
Thomas Jacobs invents a way to watch people's memories from the inside. Going against his morals, he accepts an offer to enter a heroin addict's memories to literally see if he committed a crime. However,a malfunction causes his consciousness to become trapped inside the criminal's mind. He remains a prisoner in the addict's memories for more than four years until he discovers the possibility of escape.;10.108;/ciuOIA66tZuCJRfRjfG9coiqjWm.jpg;6.162;185.0;97605.0;99537.0;Extracted;2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;97605.0;Sasha Roiz;Jenny Mollen;Dominic Bogart;Richard Riehle;Ty Simpkins;Nir Paniry
From America's greatest beardsman, to Morgan Spurlock's own mustache, Executive Producers Will Arnett, Jason Bateman and Ben Silverman bring us a hilarious look at men's identity in the 21st century. Models, actors, experts and comedians weigh in on what it is to be a man in a world where the definition of masculinity has become as diverse as a hipster's facial hair in Williamsburg. The hilarious follicles of men's idiosyncratic grooming habits are thoroughly combed over as men finally take a long hard look in the mirror.;6.287;/n5RN51ngQvJatdI5ypGF6x7nZdi.jpg;4.908;60.0;104155.0;99549.0;Mansome;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;104155.0;Jason Bateman;Will Arnett;Zach Galifianakis;Paul Rudd;Morgan Spurlock;Morgan Spurlock
A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.;8.78;/ziVOzoGfmHD5F90LyeCkBnwuTkP.jpg;6.272;580.0;133694.0;99574.0;Promised Land;2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;133694.0;Matt Damon;Frances McDormand;John Krasinski;Rosemarie DeWitt;Hal Holbrook;Gus Van Sant
Jack Regan, a hardened cop who doesn’t play by the rules, is confronted with a criminal from his past. With sidekick George Carter they are put on the case of a jewellery store heist that ends in a killing. But is that killing really an execution in disguise? With pressure from his boss and the fact that Regan is having an affair with that boss’s wife, it’s not going to be easy for him to stay out of trouble.;9.104;/nwGo7AoYXG4C03wbyfdeYvcVbnV.jpg;5.705;228.0;116613.0;99633.0;Sweeney, The;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;116613.0;Ray Winstone;Ben Drew;Hayley Atwell;Damian Lewis;Alan Ford;Nick Love
In the United States for the first time, an Indian housewife with a limited command of English turns Manhattan into her personal language school.;7.939;/ccEVR8sf18psGH5daio9y7OGu93.jpg;7.201;214.0;118628.0;99636.0;English Vinglish;2012;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;118628.0;Sridevi;Adil Hussain;Mehdi Nebbou;Priya Anand;Navika Kotia;Gauri Shinde
In London, a drug dealer grows increasingly desperate over the course of a week after a botched deal lands him in the merciless clutches of a ruthless crime lord. The more desperate his behavior, the more isolated he becomes until there is nothing left standing between him and the bullet his debtors intend to fire his way.;7.243;/mk7lRaYcQK2y5jRo1C9Cdgr9JOf.jpg;5.398;88.0;115276.0;99695.0;Pusher;2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115276.0;Richard Coyle;Bronson Webb;Agyness Deyn;Mehmet Ferda;Zlatko Burić;Luis Prieto
A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.;66.821;/dwIQ7WDCSiIcNdbferTcU7uI0KV.jpg;5.5;1346.0;76617.0;99721.0;Texas Chainsaw 3D;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76617.0;Alexandra Daddario;Dan Yeager;Trey Songz;Tania Raymonde;Paul Rae;John Luessenhop
Los Angeles, 1949. Ruthless, Brooklyn-born mob king Mickey Cohen runs the show in this town, reaping the ill-gotten gains from the drugs, the guns, the prostitutes and — if he has his way — every wire bet placed west of Chicago. And he does it all with the protection of not only his own paid goons, but also the police and the politicians who are under his control. It’s enough to intimidate even the bravest, street-hardened cop… except, perhaps, for the small, secret crew of LAPD outsiders led by Sgt. John O’Mara and Jerry Wooters who come together to try to tear Cohen’s world apart.;13.355;/1eW9kFSuTQfyMvZKtxlnwKRBvI.jpg;6.338;3579.0;82682.0;99728.0;Gangster Squad;2013;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;82682.0;Josh Brolin;Ryan Gosling;Sean Penn;Nick Nolte;Emma Stone;Ruben Fleischer
A former Weather Underground activist goes on the run from a journalist who discovers his identity.;8.654;/vx6BAjBjj8vSdEURVToLMWVW0up.jpg;6.16;589.0;87496.0;99741.0;Company You Keep, The;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87496.0;Robert Redford;Shia LaBeouf;Julie Christie;Susan Sarandon;Nick Nolte;Robert Redford
After twenty years in prison, Foley is finished with the grifter's life. When he meets an elusive young woman named Iris, the possibility of a new start looks real. But his past is proving to be a stubborn companion.;9.785;/oimc19nfcUTPveC85EhPyQUQ3CE.jpg;5.4;174.0;98339.0;99746.0;Samaritan, The;2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98339.0;Samuel L. Jackson;Luke Kirby;Ruth Negga;Tom Wilkinson;Alan C. Peterson;David Weaver
The true story of Richard Kuklinski, the notorious contract killer and family man.;41.056;/56KPE9tPYh2WBdnUMq9EIOwEXGQ.jpg;6.488;847.0;68812.0;99750.0;Iceman, The;2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68812.0;Michael Shannon;Winona Ryder;Ray Liotta;Chris Evans;David Schwimmer;Ariel Vromen
"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.";138.464;/skQt53YE2iyOftXj5afJkHmYxLW.jpg;5.8;1502.0;139038.0;99787.0;Haunted House, A;2013;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;139038.0;Marlon Wayans;Essence Atkins;Cedric the Entertainer;David Koechner;Dave Sheridan;Michael Tiddes
Tells several stories of sex work around the world. The documentary revolves around the lives and individual hopes, needs and experiences of the women.;3.877;/5MToUaJwsqxcS3JgDa3afL2P0io.jpg;6.954;54.0;85533.0;99795.0;Whores' Glory;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;85533.0;no actors;no actors;no actors;no actors;no actors;Michael Glawogger
Ginger Baker is known for playing in Cream and Blind Faith, but the world's greatest drummer didn’t hit his stride until 1972, when he arrived in Nigeria and discovered Fela Kuti's Afrobeat. After leaving Nigeria, Ginger returned to his pattern of drug-induced self-destruction, and countless groundbreaking musical works, eventually settling in South Africa, where the 73-year-old lives with his young bride and 39 polo ponies. This documentary includes interviews with Eric Clapton, Steve Winwood, Carlos Santana and more. Beware of Mr. Baker! With every smash of the drum is a man smashing his way through life.;3.51;/z8U2FGiRoyCej0Mh8VU6iAZVRY9.jpg;7.5;48.0;97610.0;99811.0;Beware of Mr. Baker;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;97610.0;Ginger Baker;Eric Clapton;Jack Bruce;Bob Adcock;Tony Allen;Jay Bulger
Filmmaker and longtime fan Stephen Kessler's portrait of the award-winning 1970s singer-songwriter-actor, who disappeared for much of the 1980s and '90s, but still performs today.;3.095;/eLUkWLnpTucYKz6z8Vn3MNeiANG.jpg;6.816;19.0;93087.0;99839.0;Paul Williams Still Alive;2011;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;93087.0;Warren Beatty;Robert Blake;Karen Carpenter;Richard Carpenter;Johnny Carson;Stephen Kessler
A drama set at a Swiss ski resort and centered on a boy who supports his sister by stealing from wealthy guests.;8.733;/2xiHYVuBYXKfYTCKEGgMEtfLL09.jpg;6.768;127.0;102000.0;99841.0;Sister (L'enfant d'en haut);2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;102000.0;Kacey Mottet Klein;Léa Seydoux;Martin Compston;Gillian Anderson;Jean-François Stévenin;Ursula Meier
Academy Award®–winning documentary filmmaker Alex Gibney (Taxi to the Dark Side) explores the charged issue of pedophilia in the Catholic Church, following a trail from the first known protest against clerical sexual abuse in the United States and all way to the Vatican.;4.626;/6hg10wOuq3rtam7tmJChyuIXFeS.jpg;7.48;51.0;124074.0;99843.0;Mea Maxima Culpa: Silence in the House of God;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;124074.0;Jamey Sheridan;Chris Cooper;Ethan Hawke;John Slattery;Brady Bryson;Alex Gibney
The story of three men with a shared dream: James Bond franchise producers Albert R. Broccoli and Harry Saltzman, and Bond creator and author Ian Fleming. It’s the thrilling and inspiring narrative behind the longest running film franchise in cinema history, which began in 1962.;6.119;/j7ibOc2uYDZbIr7T0aaFMdIi6Ud.jpg;7.258;62.0;135921.0;99846.0;Everything or Nothing: The Untold Story of 007;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;135921.0;Daniel Craig;Pierce Brosnan;Timothy Dalton;Roger Moore;George Lazenby;Stevan Riley
The Côte d’Azur. 1915. In his twilight years, Pierre-Auguste Renoir is tormented by the loss of his wife, the pains of arthritic old age and the terrible news that his son Jean has been wounded in action. But when a young girl miraculously enters his world, the old painter is filled with a new, wholly unexpected energy. Blazing with life, radiantly beautiful, Andrée will become his last model, and the wellspring of a remarkable rejuvenation. Back at the family home to convalesce, Jean too falls under the spell of the new, redheaded star in the Renoir firmament. In their Mediterranean Eden - and in the face of his father's fierce opposition - he falls in love with this wild, untameable spirit... and as he does so, within weak-willed, battle-shaken Jean, a filmmaker begins to grow.;7.116;/jmzC441vGgvPiZQWTCMbIEH63Ka.jpg;6.3;109.0;134673.0;99906.0;Renoir;2012;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;134673.0;Michel Bouquet;Christa Théret;Vincent Rottiers;Thomas Doret;Romane Bohringer;Gilles Bourdos
Ray Owens is sheriff of the quiet US border town of Sommerton Junction after leaving the LAPD following a bungled operation. Following his escape from the FBI, a notorious drug baron, his gang, and a hostage are heading toward Sommerton Junction where the police are preparing to make a last stand to intercept them before they cross the border. Owens is reluctant to become involved but ultimately joins in with the law enforcement efforts;14.585;/4PGpdWDQOjlsMcMIyTwI5Q9jPRJ.jpg;5.981;2392.0;76640.0;99910.0;Last Stand, The;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76640.0;Arnold Schwarzenegger;Johnny Knoxville;Jaimie Alexander;Zach Gilford;Kristen Rakes;Kim Jee-woon
Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.;46.776;/qqW0qz7LYRLOSwfCaQ8NbUhGEhO.jpg;6.237;3670.0;132232.0;99912.0;Mama;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132232.0;Jessica Chastain;Nikolaj Coster-Waldau;Megan Charpentier;Isabelle Nélisse;Daniel Kash;Andy Muschietti
A man and woman are drawn together, entangled in the lifecycle of an ageless organism. Identity becomes an illusion as they struggle to assemble the loose fragments of wrecked lives.;8.595;/nkUl1D1KbqW5ux9cAbSxU5f7hOy.jpg;6.449;623.0;145197.0;99917.0;Upstream Color;2013;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;145197.0;Amy Seimetz;Andrew Sensenig;Thiago Martins;Carolyn King;Mollie Milligan;Shane Carruth
In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.;22.391;/hqa5FwNZC55zqSpdeGFtBDqw55y.jpg;5.898;1254.0;98357.0;99957.0;Broken City;2013;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98357.0;Mark Wahlberg;Russell Crowe;Catherine Zeta-Jones;Jeffrey Wright;Barry Pepper;Allen Hughes
A corrupt customs official joins forces with a vicious gangster to form the most powerful crime partnership in Busan.;9.311;/3ppxP6yFoKxkA3jQkDdv3E9u1tc.jpg;6.919;130.0;89501.0;99964.0;Nameless Gangster (Bumchoiwaui junjaeng);2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89501.0;Choi Min-sik;Ha Jung-woo;Kwak Do-won;Ma Dong-seok;Kim Sung-kyun;Yoon Jong-bin
A look at the lives of two teenage girls - inseparable friends Ginger and Rosa -- growing up in 1960s London as the Cuban Missile Crisis looms, and the pivotal event the comes to redefine their relationship.;9.465;/5EmQri2RwjN5zELdAtUY52k71pN.jpg;6.165;182.0;121872.0;99968.0;Ginger & Rosa;2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;121872.0;Elle Fanning;Alice Englert;Christina Hendricks;Alessandro Nivola;Timothy Spall;Sally Potter
Performance artist Marina Abramovic prepares for a major retrospective of her work at the Museum of Modern Art in New York.;9.109;/6CbjWJpB4TowXNXykRoUzqvyfVH.jpg;7.655;112.0;84309.0;99986.0;Marina Abramovic: The Artist Is Present;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;84309.0;Marina Abramović;Ulay;Klaus Biesenbach;David Balliano;Chrissie Iles;Matthew Akers
Set in 1990s Belfast, a woman is forced to betray all she believes in for the sake of her son.;10.89;/ihkceEMJK4XtHXgw97ggsrE3ExP.jpg;5.9;210.0;84336.0;99992.0;Shadow Dancer;2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84336.0;Andrea Riseborough;Clive Owen;Gillian Anderson;Aidan Gillen;Domhnall Gleeson;James Marsh
Four couples meet for Sunday brunch only to discover they are stuck in a house together as the world may be about to end.;6.447;/hZEHuBDBiN7GkjUT2nXN2kIsPtU.jpg;6.38;184.0;114779.0;99996.0;It's a Disaster;2012;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;114779.0;Julia Stiles;David Cross;America Ferrera;Rachel Boston;Jeff Grace;Todd Berger
An emotionally and sexually charged journey through the love, addiction, and friendship of two men. Documentary filmmaker Erik and closeted lawyer Paul meet through a casual encounter, but they find a deeper connection and become a couple. Individually and together, they are risk takers—compulsive, and fueled by drugs and sex. In an almost decade-long relationship defined by highs, lows, and dysfunctional patterns, Erik struggles to negotiate his own boundaries and dignity and to be true to himself.;4.477;/opC2I3tiR0qIfmKmTnYkZQr4Hnp.jpg;5.993;74.0;84290.0;100017.0;Keep the Lights On;2012;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84290.0;Thure Lindhardt;Zachary Booth;Julianne Nicholson;Souleymane Sy Savane;Paprika Steen;Ira Sachs
A documentary on the modeling industry's 'supply chain' between Siberia, Japan, and the U.S., told through the experiences of the scouts, agencies, and a 13-year-old model.;4.379;/bhv8Pa7UrwomiBbjRYpjM9sXGjQ.jpg;6.412;51.0;83443.0;100034.0;Girl Model;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;83443.0;Ashley Arbaugh;Rachel Blais;Nadya Vall;no actors;no actors;David Redmon
"Na-mi, a transfer student, becomes a laughingstock on her first day of school because of her strong southern dialect. Six girls jump in to help the new kid adapt to the new environment, and the girls come to call their circle of friends ""Sunny.""";11.296;/m21yedsv5rGNmvOU0X9ARvxC0XM.jpg;7.893;117.0;77117.0;100060.0;Sunny (Sseo-ni);2011;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77117.0;Yoo Ho-jeong;Shim Eun-kyung;Jin Hee-kyung;Kang So-ra;Koh Soo-hee;Kang Hyung-chul
